date,home_team,home_score,away_score,away_team,tournament,country,city,year
1930-07-13,Belgium,0,3,United States,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-13,France,4,1,Mexico,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-14,Brazil,1,2,Yugoslavia,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-14,Peru,1,3,Romania,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-15,Argentina,1,0,France,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-16,Chile,3,0,Mexico,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-17,Bolivia,0,4,Yugoslavia,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-17,Paraguay,0,3,United States,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-18,Uruguay,1,0,Peru,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-19,Argentina,6,3,Mexico,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-19,Chile,1,0,France,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-20,Belgium,0,1,Paraguay,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-20,Bolivia,0,4,Brazil,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-21,Uruguay,4,0,Romania,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-22,Argentina,3,1,Chile,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-26,Argentina,6,1,United States,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-27,Uruguay,6,1,Yugoslavia,FIFA WC 1930,Uruguay,Montevideo,1930
1930-07-30,Uruguay,4,2,Argentina,FIFA WC 1930,Uruguay,Montevideo,1930
1934-05-27,Argentina,2,3,Sweden,FIFA WC 1934,Italy,Bologna,1934
1934-05-27,Austria,3,2,France,FIFA WC 1934,Italy,Turin,1934
1934-05-27,Belgium,2,5,Germany,FIFA WC 1934,Italy,Florence,1934
1934-05-27,Brazil,1,3,Spain,FIFA WC 1934,Italy,Genoa,1934
1934-05-27,Czechoslovakia,2,1,Romania,FIFA WC 1934,Italy,Trieste,1934
1934-05-27,Egypt,2,4,Hungary,FIFA WC 1934,Italy,Naples,1934
1934-05-27,Italy,7,1,United States,FIFA WC 1934,Italy,Rome,1934
1934-05-27,Netherlands,2,3,Switzerland,FIFA WC 1934,Italy,Milan,1934
1934-05-31,Austria,2,1,Hungary,FIFA WC 1934,Italy,Bologna,1934
1934-05-31,Czechoslovakia,3,2,Switzerland,FIFA WC 1934,Italy,Turin,1934
1934-05-31,Germany,2,1,Sweden,FIFA WC 1934,Italy,Milan,1934
1934-05-31,Italy,1,1,Spain,FIFA WC 1934,Italy,Florence,1934
1934-06-01,Italy,1,0,Spain,FIFA WC 1934,Italy,Florence,1934
1934-06-03,Czechoslovakia,3,1,Germany,FIFA WC 1934,Italy,Rome,1934
1934-06-03,Italy,1,0,Austria,FIFA WC 1934,Italy,Milan,1934
1934-06-07,Austria,2,3,Germany,FIFA WC 1934,Italy,Naples,1934
1934-06-10,Italy,2,1,Czechoslovakia,FIFA WC 1934,Italy,Rome,1934
1938-06-04,Germany,1,1,Switzerland,FIFA WC 1938,France,Paris,1938
1938-06-05,Brazil,6,5,Poland,FIFA WC 1938,France,Strasbourg,1938
1938-06-05,Cuba,3,3,Romania,FIFA WC 1938,France,Toulouse,1938
1938-06-05,Czechoslovakia,3,0,Netherlands,FIFA WC 1938,France,Le Havre,1938
1938-06-05,France,3,1,Belgium,FIFA WC 1938,France,Colombes,1938
1938-06-05,Hungary,6,0,Indonesia,FIFA WC 1938,France,Reims,1938
1938-06-05,Italy,2,1,Norway,FIFA WC 1938,France,Marseille,1938
1938-06-09,Cuba,2,1,Romania,FIFA WC 1938,France,Toulouse,1938
1938-06-09,Germany,2,4,Switzerland,FIFA WC 1938,France,Paris,1938
1938-06-12,Brazil,1,1,Czechoslovakia,FIFA WC 1938,France,Bordeaux,1938
1938-06-12,Cuba,0,8,Sweden,FIFA WC 1938,France,Antibes,1938
1938-06-12,France,1,3,Italy,FIFA WC 1938,France,Colombes,1938
1938-06-12,Hungary,2,0,Switzerland,FIFA WC 1938,France,Lille,1938
1938-06-14,Brazil,2,1,Czechoslovakia,FIFA WC 1938,France,Bordeaux,1938
1938-06-16,Brazil,1,2,Italy,FIFA WC 1938,France,Marseille,1938
1938-06-16,Hungary,5,1,Sweden,FIFA WC 1938,France,Paris,1938
1938-06-19,Brazil,4,2,Sweden,FIFA WC 1938,France,Bordeaux,1938
1938-06-19,Hungary,2,4,Italy,FIFA WC 1938,France,Colombes,1938
1950-06-24,Brazil,4,0,Mexico,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-06-25,Chile,0,2,England,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-06-25,Italy,2,3,Sweden,FIFA WC 1950,Brazil,São Paulo,1950
1950-06-25,Spain,3,1,United States,FIFA WC 1950,Brazil,Curitiba,1950
1950-06-25,Switzerland,0,3,Yugoslavia,FIFA WC 1950,Brazil,Belo Horizonte,1950
1950-06-28,Brazil,2,2,Switzerland,FIFA WC 1950,Brazil,São Paulo,1950
1950-06-28,Mexico,1,4,Yugoslavia,FIFA WC 1950,Brazil,Porto Alegre,1950
1950-06-29,Chile,0,2,Spain,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-06-29,England,0,1,United States,FIFA WC 1950,Brazil,Belo Horizonte,1950
1950-06-29,Paraguay,2,2,Sweden,FIFA WC 1950,Brazil,Curitiba,1950
1950-07-01,Brazil,2,0,Yugoslavia,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-07-02,Bolivia,0,8,Uruguay,FIFA WC 1950,Brazil,Belo Horizonte,1950
1950-07-02,Chile,5,2,United States,FIFA WC 1950,Brazil,Recife,1950
1950-07-02,England,0,1,Spain,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-07-02,Italy,2,0,Paraguay,FIFA WC 1950,Brazil,São Paulo,1950
1950-07-02,Mexico,1,2,Switzerland,FIFA WC 1950,Brazil,Porto Alegre,1950
1950-07-09,Brazil,7,1,Sweden,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-07-09,Spain,2,2,Uruguay,FIFA WC 1950,Brazil,São Paulo,1950
1950-07-13,Brazil,6,1,Spain,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-07-13,Sweden,2,3,Uruguay,FIFA WC 1950,Brazil,São Paulo,1950
1950-07-16,Brazil,1,2,Uruguay,FIFA WC 1950,Brazil,Rio de Janeiro,1950
1950-07-16,Spain,1,3,Sweden,FIFA WC 1950,Brazil,São Paulo,1950
1954-06-16,Austria,1,0,Scotland,FIFA WC 1954,Switzerland,Zürich,1954
1954-06-16,Brazil,5,0,Mexico,FIFA WC 1954,Switzerland,Geneva,1954
1954-06-16,Czechoslovakia,0,2,Uruguay,FIFA WC 1954,Switzerland,Berne,1954
1954-06-16,France,0,1,Yugoslavia,FIFA WC 1954,Switzerland,Lausanne,1954
1954-06-17,Belgium,4,4,England,FIFA WC 1954,Switzerland,Basel,1954
1954-06-17,Germany,4,1,Turkey,FIFA WC 1954,Switzerland,Berne,1954
1954-06-17,Hungary,9,0,South Korea,FIFA WC 1954,Switzerland,Zürich,1954
1954-06-17,Switzerland,2,1,Italy,FIFA WC 1954,Switzerland,Lausanne,1954
1954-06-19,Austria,5,0,Czechoslovakia,FIFA WC 1954,Switzerland,Zürich,1954
1954-06-19,Brazil,1,1,Yugoslavia,FIFA WC 1954,Switzerland,Lausanne,1954
1954-06-19,France,3,2,Mexico,FIFA WC 1954,Switzerland,Geneva,1954
1954-06-19,Scotland,0,7,Uruguay,FIFA WC 1954,Switzerland,Basel,1954
1954-06-20,Belgium,1,4,Italy,FIFA WC 1954,Switzerland,Lugano,1954
1954-06-20,Germany,3,8,Hungary,FIFA WC 1954,Switzerland,Basel,1954
1954-06-20,South Korea,0,7,Turkey,FIFA WC 1954,Switzerland,Geneva,1954
1954-06-20,Switzerland,0,2,England,FIFA WC 1954,Switzerland,Berne,1954
1954-06-23,Germany,7,2,Turkey,FIFA WC 1954,Switzerland,Zürich,1954
1954-06-23,Switzerland,4,1,Italy,FIFA WC 1954,Switzerland,Basel,1954
1954-06-26,England,2,4,Uruguay,FIFA WC 1954,Switzerland,Basel,1954
1954-06-26,Switzerland,5,7,Austria,FIFA WC 1954,Switzerland,Lausanne,1954
1954-06-27,Brazil,2,4,Hungary,FIFA WC 1954,Switzerland,Berne,1954
1954-06-27,Germany,2,0,Yugoslavia,FIFA WC 1954,Switzerland,Geneva,1954
1954-06-30,Austria,1,6,Germany,FIFA WC 1954,Switzerland,Basel,1954
1954-06-30,Hungary,4,2,Uruguay,FIFA WC 1954,Switzerland,Lausanne,1954
1954-07-03,Austria,3,1,Uruguay,FIFA WC 1954,Switzerland,Zürich,1954
1954-07-04,Germany,3,2,Hungary,FIFA WC 1954,Switzerland,Berne,1954
1958-06-08,Argentina,1,3,Germany,FIFA WC 1958,Sweden,Malmö,1958
1958-06-08,Austria,0,3,Brazil,FIFA WC 1958,Sweden,Uddevalla,1958
1958-06-08,Czechoslovakia,0,1,Northern Ireland,FIFA WC 1958,Sweden,Halmstad,1958
1958-06-08,England,2,2,Russia,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-08,France,7,3,Paraguay,FIFA WC 1958,Sweden,Norrköping,1958
1958-06-08,Hungary,1,1,Wales,FIFA WC 1958,Sweden,Sandviken,1958
1958-06-08,Scotland,1,1,Yugoslavia,FIFA WC 1958,Sweden,Västerås,1958
1958-06-08,Sweden,3,0,Mexico,FIFA WC 1958,Sweden,Solna,1958
1958-06-11,Argentina,3,1,Northern Ireland,FIFA WC 1958,Sweden,Halmstad,1958
1958-06-11,Austria,0,2,Russia,FIFA WC 1958,Sweden,Borås,1958
1958-06-11,Brazil,0,0,England,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-11,Czechoslovakia,2,2,Germany,FIFA WC 1958,Sweden,Helsingborg,1958
1958-06-11,France,2,3,Yugoslavia,FIFA WC 1958,Sweden,Västerås,1958
1958-06-11,Mexico,1,1,Wales,FIFA WC 1958,Sweden,Solna,1958
1958-06-11,Paraguay,3,2,Scotland,FIFA WC 1958,Sweden,Norrköping,1958
1958-06-12,Sweden,2,1,Hungary,FIFA WC 1958,Sweden,Solna,1958
1958-06-15,Argentina,1,6,Czechoslovakia,FIFA WC 1958,Sweden,Helsingborg,1958
1958-06-15,Austria,2,2,England,FIFA WC 1958,Sweden,Borås,1958
1958-06-15,Brazil,2,0,Russia,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-15,France,2,1,Scotland,FIFA WC 1958,Sweden,Örebro,1958
1958-06-15,Germany,2,2,Northern Ireland,FIFA WC 1958,Sweden,Malmö,1958
1958-06-15,Hungary,4,0,Mexico,FIFA WC 1958,Sweden,Sandviken,1958
1958-06-15,Paraguay,3,3,Yugoslavia,FIFA WC 1958,Sweden,Eskilstuna,1958
1958-06-15,Sweden,0,0,Wales,FIFA WC 1958,Sweden,Solna,1958
1958-06-17,Czechoslovakia,1,2,Northern Ireland,FIFA WC 1958,Sweden,Malmö,1958
1958-06-17,England,0,1,Russia,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-17,Hungary,1,2,Wales,FIFA WC 1958,Sweden,Solna,1958
1958-06-19,Brazil,1,0,Wales,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-19,France,4,0,Northern Ireland,FIFA WC 1958,Sweden,Norrköping,1958
1958-06-19,Germany,1,0,Yugoslavia,FIFA WC 1958,Sweden,Malmö,1958
1958-06-19,Sweden,2,0,Russia,FIFA WC 1958,Sweden,Solna,1958
1958-06-24,Brazil,5,2,France,FIFA WC 1958,Sweden,Solna,1958
1958-06-24,Sweden,3,1,Germany,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-28,France,6,3,Germany,FIFA WC 1958,Sweden,Gothenburg,1958
1958-06-29,Sweden,2,5,Brazil,FIFA WC 1958,Sweden,Solna,1958
1962-05-30,Argentina,1,0,Bulgaria,FIFA WC 1962,Chile,Rancagua,1962
1962-05-30,Brazil,2,0,Mexico,FIFA WC 1962,Chile,Viña del Mar,1962
1962-05-30,Chile,3,1,Switzerland,FIFA WC 1962,Chile,Santiago,1962
1962-05-30,Colombia,1,2,Uruguay,FIFA WC 1962,Chile,Arica,1962
1962-05-31,Czechoslovakia,1,0,Spain,FIFA WC 1962,Chile,Viña del Mar,1962
1962-05-31,England,1,2,Hungary,FIFA WC 1962,Chile,Rancagua,1962
1962-05-31,Germany,0,0,Italy,FIFA WC 1962,Chile,Santiago,1962
